PATENT_ID,PATENT_TITLE,PATENT_ABSTRACT,PUBLICATION_DATE,BACKWARD_CITATIONS,FORWARD_CITATIONS
8622078,Apparatus of hot tapping multiple coaxial or nested strings of underwater piping and/or tubing for overturned wells or platforms,"A method and apparatus for tapping into a pressurized multiple strings of coaxially situated tubulars for wells and/or platforms which have overturned wherein the tapping occurs underwater via a diver or remotely operated vehicle. The assembly includes a tapping tool connectable to the tubular via a saddle connection and an adjustable tapping clamp with adjustable support/locking feet, compression plate with view ports, and angularly adjustable hot tapping system, along with a drill/saw system.",2014-01-07,1,0
8626201,Disseminating targeted location-based content to mobile device users,"A trusted third party information arbiter for facilitating third party information sources, such as advertisers or data processing services, to accurately target communications to mobile device users. Illustratively, the mobile device users can control target communications through the utilization of discretion requests/permissions processed by the third party information arbiter. Furthermore, the mobile device users may further interact with the trusted third party information arbiter to provide/release additional personal information. For example, a mobile device user may be provided an increasingly rich rewards or payments that may be provisioned by discount, coupons or offers associated with existing or new product advertisements or promotional information messages.",2014-01-07,9,1
8625083,Thin film stress measurement 3D anisotropic volume,"A system for measuring thin film stress, anisotropic or isotropic, such as from thin film deposition onto semiconductor substrates found in semiconductor manufacturing. The system uses resettled volume difference, V2−V1, of the surface of a material to calculate stress. The system includes a means to collect 3D surface points, a method to calculate volume and a method to calculate thin film stress from resettled volume difference. Calculating stress from resettled volume difference, V2−V1, eliminates the inaccuracy of calculating stress from the change in surface curvature or surface radius with equations such asThe inaccuracy of stress calculated from surface curvature is from the non-spherical deformation of anisotropic materials, such as semiconductor substrates, eg: silicon wafers in semiconductor manufacturing.",2014-01-07,2,0
D697269,Helmet,,2014-01-07,1,0
8626728,System and method for sharing anonymous user profiles with a third party,"The invention provides a system and method for sharing anonymous user profiles with a third party. In one aspect of the invention, the system shares user profiles with content servers on a mobile data network so that they may select content responsive to the user's profile. The system provides a store of user profiles for associating profile information with either a source IP address or mobile phone number, where the profile includes information on the user and the user's network usage. The system detects a user's transaction request and inspects it for either an IP address or phone number, which it uses to retrieve the appropriate profile. The system subsequently applies predetermined opt-out policies to determine how much of the user profile may be provided in response to the profile request. The system then returns the profile information such that the user's identity is masked.",2014-01-07,8,0
8624336,Semiconductor device and manufacturing method thereof,"It is an object of the present invention to manufacture a micromachine having a plurality of structural bodies with different functions and to shorten the time required for sacrifice layer etching in a process of manufacturing the micromachine. Another object of the present invention is to prevent a structural layer from being attached to a substrate after the sacrifice layer etching. In other words, an object of the present invention is to provide an inexpensive and high-value-added micromachine by improving throughput and yield. The sacrifice layer etching is conducted in multiple steps. In the multiple steps of the sacrifice layer etching, a part of the sacrifice layer that does not overlap with the structural layer is removed by the earlier sacrifice layer etching and a part of the sacrifice layer that is under the structural layer is removed by the later sacrifice layer etching.",2014-01-07,3,0
8622802,Gaming machine and gaming method,"A gaming machine according to an embodiment includes a symbol display and a controller. The symbol display configured to display an arrangement and a rendering movement of a plurality of symbols for a game, and the plurality of symbols including first and second symbols different from each other. The controller is configured to receive an input from a player, to determine whether a time of the input from the player is within a predetermined time duration during the rendering movement when the rendering movement satisfies a first condition, the predetermined time duration starting at a predetermined frame before the first symbol reaches at a predetermined position, and to stop a group of the symbols including the first symbol in response to the input from the player when the time of the input is within the predetermined time duration.",2014-01-07,0,0
8623017,Open vessel sealing instrument with hourglass cutting mechanism and overratchet safety,An open electrosurgical forceps includes a pair of first and second shaft members each having a jaw member disposed at its distal end. The jaw members are movable from a first position in spaced relation relative to one another to a subsequent position wherein the jaw members cooperate to grasp tissue. Each of the jaw members includes an electrically conductive scaling plate for communicating electrosurgical energy through tissue. A curved knife channel is defined along the length of one of the jaw members and is dimensioned to reciprocate a cutting mechanism. An actuator selectively advances the cutting mechanism from a first position proximal to tissue held between the jaw members to a subsequent position distal to tissue held between the jaw members. The cutting mechanism includes a generally hourglass-shaped flexible blade having a mutually aggregating notch.,2014-01-07,60,1
D696892,Aerosol dispenser,,2014-01-07,1,3
8627041,Efficient line and page organization for compression status bit caching,"One embodiment of the present invention sets forth a technique for performing a memory access request to compressed data within a virtually mapped memory system comprising an arbitrary number of partitions. A virtual address is mapped to a linear physical address, specified by a page table entry (PTE). The PTE is configured to store compression attributes, which are used to locate compression status for a corresponding physical memory page within a compression status bit cache. The compression status bit cache operates in conjunction with a compression status bit backing store. If compression status is available from the compression status bit cache, then the memory access request proceeds using the compression status. If the compression status bit cache misses, then the miss triggers a fill operation from the backing store. After the fill completes, memory access proceeds using the newly filled compression status information.",2014-01-07,0,0
8623699,Method of chip package build-up,"A system and method for chip package fabrication is disclosed. The chip package includes a base re-distribution layer having an opening formed therein, an adhesive layer having a window formed therein free of adhesive material, and a die affixed to the base re-distribution layer by way of the adhesive layer, the die being aligned with the window such that only a perimeter of the die contacts the adhesive layer. A shield element is positioned between the base re-distribution layer and adhesive layer that is generally aligned with the opening formed in the base re-distribution layer and the window of the adhesive layer such that only a perimeter of the shield element is attached to the adhesive layer. The shield element is separated from the die by an air gap and is configured to be selectively removable from the adhesive layer so as to expose the front surface of the die.",2014-01-07,0,0
8622585,Lighting device with multiple light sources and primary and secondary optics,A lighting device has multiple light sources each having a primary optics; and a secondary optics for the multiple light sources; such that at the secondary optics the radiation patterns emitted from the multiple light sources have a substantially uniform luminance; and such that the secondary optics transforms the radiation pattern from the multiple light sources into an elliptical spot of light of substantially uniform luminance.,2014-01-07,0,0
8623688,Solar cell and method for manufacturing such a solar cell,"A method for manufacturing a solar cell from a semiconductor substrate (1) of a first conductivity type, the semiconductor substrate having a front surface (2) and a back surface (3). The method includes in a sequence: texturing (102) the front surface to create a textured front surface (2a); creating (103) by diffusion of a dopant of the first conductivity type a first conductivity-type doped layer (2c) in the textured front surface and a back surface field layer (4) of the first conductivity type in the back surface; removing (105; 104a) the first conductivity-type doped layer from the textured front surface by an etching process adapted for retaining texture of the textured front surface; creating (106) a layer of a second conductivity type (6) on the textured front surface by diffusion of a dopant of the second conductivity type into the textured front surface.",2014-01-07,0,0
8621705,Spraying windshield wiper assembly,A spraying windshield wiper assembly is provided for delivering cleaning fluid to a windshield surface from a wiper arm holding a wiper blade. The assembly includes a wiper arm having a first end and a second end. The first end is configured for coupling to a vehicle. An elongated blade housing is coupled to the second end of the wiper arm. A channel extends through the blade housing. A supply tube is coupled to the wiper arm and fluidly coupled to the channel for delivering a fluid to the channel. A plurality of nozzles is coupled to the wiper arm. Each nozzle is fluidly coupled to the channel whereby each nozzle is configured for dispensing the fluid from the channel onto the windshield of the vehicle. A wiper blade is coupled to the blade housing.,2014-01-07,1,0
8621775,Firearm sight with dual diamond shaped apertures,"A sight for use on a firearm includes a frame member mountable to a firearm and having a pair of spaced apart posts extending therefrom, a support member extending transversely between the pair of posts and selectively rotatable with respect thereto, and a sight element. The sight element is carried by the support member between the posts and includes a central portion rotatably coupled to the support member, a first sight aperture portion extending from the central portion and defining a first aperture formed in a diamond shape with an upper v-notch and a lower v-notch, and a second sight aperture portion extending from the central portion and defining a second aperture formed in a diamond shape.",2014-01-07,0,0
8623662,Methods of forming visual hydrogen detector with variable reversibility,"Methods, processes and compositions are provided for a visual or chemochromic hydrogen-detector with variable or tunable reversible color change. The working temperature range for the hydrogen detector is from minus 100° C. to plus 500° C. A hydrogen-sensitive pigment, including, but not limited to, oxides, hydroxides and polyoxo-compounds of tungsten, molybdenum, vanadium, chromium and combinations thereof, is combined with nano-sized metal activator particles and preferably, coated on a porous or woven substrate. In the presence of hydrogen, the composition rapidly changes its color from white or light-gray or light-tan to dark gray, navy-blue or black depending on the exposure time and hydrogen concentration in the medium. After hydrogen exposure ceases, the original color of the hydrogen-sensitive pigment is restored, and the visual hydrogen detector can be used repeatedly. By changing the composition of the hydrogen-sensitive pigment, the time required for its complete regeneration is varied from a few seconds to several days.",2014-01-07,0,0
8626707,Automatic meta-data sharing of existing media to create streamable collections,"A method, system, and/or apparatus of automatic meta-data sharing of existing media to create streamable collections are disclosed. In one embodiment, a method of a server device includes analyzing a media data of a client device to determine at least one meta-data identifier associated with the media data and automatically populating a new mark-up language file using a existing media-collection data associated with certain items of the media data, and creating a streamable media content of the existing media-collection data on the server device based on a reference of the at least one meta-data identifier associated with each of the existing media collection data with a content database of a central server. The method may include communicating the streamable media content from the central server to the user on any client device without requiring consideration of the user to access the media content.",2014-01-07,0,0
8627026,Storage apparatus and additional data writing method,"Deduplicated backup data of a plurality of generations are aggregated and stored.A storage apparatus is connected via a network to a host system making a content write request and includes a storage unit providing one or more containers composed of a specified storage area, and a back up unit storing the content in the container in accordance with a backup request from the host system; and wherein the backup unit cuts out the content into one or more chunks, detects a duplicate chunk, which is a duplicate of a chunk stored in the container, from the cutout chunks, and additionally writes the chunk, other than the duplicate chunk, to the container where the duplicate chunk is stored.",2014-01-07,0,0
8623730,Method for fabricating silicon-on-insulator transistor with self-aligned borderless source/drain contacts,"A method is provided for fabricating a transistor. A replacement gate stack is formed on a semiconductor layer, a gate spacer is formed, and a dielectric layer is formed. The dummy gate stack is removed to form a cavity. A gate dielectric and a work function metal layer are formed in the cavity. The cavity is filled with a gate conductor. One and only one of the gate conductor and the work function metal layer are selectively recessed. An oxide film is formed in the recess such that its upper surface is co-planar with the upper surface of the dielectric layer. The oxide film is used to selectively grow an oxide cap. An interlayer dielectric is formed and etched to form a cavity for a source/drain contact. A source/drain contact is formed in the contact cavity, with a portion of the source/drain contact being located directly on the oxide cap.",2014-01-07,3,0
8622633,Connector for optical fibers,"A connector for one or more optical fibers has a ferrule into which the optical fibers are glued directly with their outer cladding. No stripping of the fibers is required any longer before gluing them to the ferrule and thus, the difficulty of the fragility of the stripped fibers is overcome. The fibers are special fiber having a primary coating with smaller tolerances of ±2 microns. The fibers are arranged on a flexible foil which forms an optical overlay for a printed circuit board.",2014-01-07,2,0
8625202,"Zoom lens system, lens barrel, interchangeable lens apparatus and camera system","Compact and lightweight zoom lens systems having less aberration fluctuation in association with focusing, lens barrels, interchangeable lens apparatuses, and camera systems are provided. The zoom lens system comprises: a first lens unit having positive optical power; a first focusing lens unit which is located on an image side relative to the first lens unit, has negative optical power, and moves along an optical axis in zooming and focusing; and a second focusing lens unit which is located on the image side relative to the first focusing lens unit, has positive optical power, and moves along the optical axis in the zooming and the focusing, and satisfies the condition: |d2T/d1T|<1.0 (d1T: an amount of movement of the first focusing lens unit in focusing at a telephoto limit, d2T: an amount of movement of the second focusing lens unit in focusing at a telephoto limit).",2014-01-07,0,0
8622043,Electrical power generation system that includes a fluid containment system,Some embodiments relate to an example electrical power generation system that includes a fluid containment system (FIG. 2 shows the example electrical power generation system of FIG. 1 where the fluid containment system is filled with fluid F). The electrical power generation system includes an internal combustion engine and an alternator that is driven by the internal combustion engine to generate electrical power. The electrical power generation system further includes an enclosure such that the internal combustion engine and alternator are positioned within the enclosure. The fluid containment system is positioned below the internal combustion engine and the alternator to collect fluids F. The fluid containment system includes a drain. The electrical power generation system further includes a control that selectively operates the drain to permit fluids F to exit the fluid containment system.,2014-01-07,0,0
8625396,Optical pickup and optical information storage medium system using the same,"An optical pick-up is provided. The optical pick-up includes a light source, a first objective lens configured to focus light emitted from the light source on a high-density optical information storage medium, a photo-detector configured to detect a signal by receiving light reflected from the high-density optical information storage medium, an optical-path changer configured to convert a travel path of incident light to allow the light emitted from the light source to proceed toward the high-density optical information storage medium, and to allow the light reflected from the high-density optical information storage medium to proceed toward the photo-detector, and a blocking device disposed in an optical path of signal light reflected from a target reproducing/recording layer of the high-density optical information storage medium, passes through the first objective lens, and proceeds toward the photo-detector.",2014-01-07,0,0
8626963,Packet based data transfer system and method for host-slave interface,"In a host-slave data transfer system, the slave device receives packet based data from an external device and stores the packet content in a buffer as data segments. The slave merges a plurality of data segments into data streams and transmits the data streams to the host. The host uses direct memory access (DMA) to unpack the data stream from the slave into individual data segments without memory copy. To enable the host to set up DMA, the slave transmits information regarding sizes of the data segments to the host beforehand via an outband channel, e.g. by transmitting the size information in headers and/or tailers inserted into previous data streams. The host utilizes the data segment size information to program descriptor tables, such that each descriptor in the descriptor tables causes one data segment in the data stream to be stored in the system memory of the host.",2014-01-07,2,0
8626727,Systems and methods for providing a map of an enterprise system,An exemplary system and method for providing a map of an enterprise system is provided. The method comprises accessing data describing an element from one or more sources. One or more objects are associated with the element. At least one relationship is identified between the one or more objects. A map is then generated of an enterprise system comprised of the one or more objects based on the at least one identified relationship.,2014-01-07,1,0
8623972,"Styrene-butadiene copolymers, process for the preparation thereof and high cohesion adhesive compositions","The present invention relates to styrene-butadiene copolymers (SBR) that are prepared using aqueous emulsion polymerization technology and are intended for the adhesive and sealing industry, being particularly useful in the preparation of contact adhesives and pressure-sensitive adhesives (PSA) and widely applicable in the footwear and furniture industries. The use of this kind of elastomer in processes for preparing adhesives, having an aqueous or solvent base, provides high cohesion to adhesive compositions without compromising or jeopardizing the adhesion. The present invention is also intended to protect the process for obtaining SBR copolymers, simultaneously comprising: aqueous emulsion polymerization at high temperatures, the use of a specific surfactant and the maintenance of the Mooney viscosity and the combined styrene content in the copolymer in high ranges. Another object of the present invention application is the protection of adhesive compositions that are obtained from SBR copolymers, either in solid or latex form.",2014-01-07,1,0
8623314,Chilled ammonia based CO2 capture system with ammonia recovery and processes of use,Processes for recovering ammonia from an ammonium sulfate stream include reacting the ammonia sulfate stream with a lime slurry to form a slurry comprising calcium sulfate and ammonia; providing the slurry comprising calcium sulfate and ammonia to a stripper configured to recover the ammonia from the slurry; utilizing a heat source from a chilled ammonia process to the stripper; and extracting an ammonia vapor stream from the stripper. Also disclosed are systems for performing the processes.,2014-01-07,1,0
8626872,Synchronization system and method for audiovisual programmes associated devices and methods,"The present invention relates in particular to a synchronization system and method. The synchronization system comprises a specification unit for specifying synchronization signals associated with an audiovisual program, the latter comprising an audiovisual content and control information, a recognition unit for recognizing the synchronization signals in a transmitted stream carrying this program, by recognition of at least one extracted portion of the audiovisual content, and an activation unit triggering an action in case of detection of these signals. The specification unit prepares and transmits to the recognition unit recognition elements making it possible to obtain this extracted portion, as well as at least one action timeout lag in case of detection of the synchronization signals. The recognition or activation unit then delays the triggering of this action according to the lag transmitted, in case of detection of the synchronization signals. In variants, the timeout lag is determined and/or the recognition elements are obtained independently of the specification unit.",2014-01-07,1,0
8627373,System and method for presenting media services,"A system and method for presenting media services is disclosed. A system that incorporates teachings of the present disclosure may include, for example, a media system having a controller element that contextually associates a plurality of portals with a corresponding plurality of multimedia broadcast channels as an aggregated service offering. Other embodiments are disclosed.",2014-01-07,0,0
8622071,Rupture panel,"A rupture panel of three layers employs a lower layer (e.g. foam) that is adhesive, a middle layer (e.g. metallic) and a hold down layer. The middle layer has a weakened portion (scoring, openings, for example) that defines the panel burst pressure. A part of the lower layer does not connect to the middle layer. That part that does not connect to the middle layer adheres to the hold down layer. The hold down layer can be in the form of a ring with an open center, the weakened portion of the middle layer occupying a position within the open center of the hold down layer.",2014-01-07,3,0
8623636,"Nanoparticle biosensor, method of preparing same and uses thereof","The invention relates to the field of biosensors and, more specifically, to nanoparticle biosensors comprising: a magnetic core, a silica layer, one or more outer metal layers which can be of different types and deposited in an alternating manner and immobilized on the outer surface, and a layer of synthetic or natural organic or inorganic biosensor molecules that can bind to biomolecules. The invention also relates to a method of obtaining the nanoparticle biosensors as well as to the different uses thereof.",2014-01-07,0,0
8626061,Isolation distance calculation method and apparatus for avoidance of interference signal in wireless communication repeater system,"Provided is a method and apparatus for calculating an isolation distance that is a distance where an interference phenomenon does not occur between wireless repeater apparatuses. The isolation distance calculating apparatus may include: an interference signal calculator to calculate a magnitude of an interference signal included in a particular band by detecting a signal of the particular band extracted from a received radio signal of a wireless repeater apparatus; and an isolation distance calculator to calculate a necessary isolation distance for cancelling interference between the wireless repeater apparatus and another wireless repeater apparatus, based on a predetermined allowable interference signal level and the magnitude of the interference signal.",2014-01-07,1,0
D697192,Spider firepit grate,,2014-01-07,1,0
8625707,Apparatus and method for space frequency block coding in a multiple input multiple output single carrier wireless communication system,"A Multiple Input Multiple Output (MIMO) single carrier wireless communication system is provided. The system includes a coder for performing block coding on symbols, an extender for collecting the block-coded symbols during one transmit (Tx) signal duration and for performing repetitive extension on the collected symbol vectors by an interval required in a frequency domain, an inserter for inserting ‘0’ to the repetitively extended symbol vectors so that the vectors are mutually orthogonal in a time domain, and a combiner for multiplying the ‘0’-inserted symbol vectors by a phase component so that the vectors are mutually orthogonal in the frequency domain and thereafter for combining the symbol vectors to generate a Tx signal for each antenna.",2014-01-07,0,0
8622488,Vertically retractable shelf system,"A vertically retractable shelf system comprises a shelf frame and a track assembly. The shelf frame comprises a rectangular frame. The track assembly comprises a roller slide assembly, disposed on the left and right sides of the shelf frame, to allow the shelf frame to slide vertically along the tracks.",2014-01-07,1,1
8626813,Dual-path fused floating-point two-term dot product unit,"A fused floating-point dot product unit. The fused dot product unit includes an improved alignment scheme that generates smaller significand pairs compared to the traditional alignment due to the reduced shift amount and sticky logic. Furthermore, the fused dot product unit implements early normalization and a fast rounding scheme. By normalizing the significands prior to the significand addition, the length of the adder can be reduced and the round logic can be performed in parallel. Additionally, the fused dot product unit implements a four-input leading zero anticipation unit thereby reducing the overhead of the reduction tree by encoding the four inputs at once. The fused floating-point dot product unit may also employ a dual-path (a far path and a close path) algorithm to improve performance. Pipelining may also be applied to the dual-path fused dot product unit to increase the throughput.",2014-01-07,1,0
8624651,Interpolation circuit and receiving circuit,"An interpolation circuit includes: a generation circuit that generates interpolation data from a plurality of pieces of input data, using an interpolation coefficient, among input data inputted in time series including a data point and a transition point; a detection circuit that detects that the input data lacks at the data point; and a coefficient circuit that changes the interpolation coefficient for each given data interval, and skips a position for changing the interpolation coefficient to the transition point when the detection circuit detects the lack of the input data.",2014-01-07,1,0
8625771,Local route groups and transformation patterns,"In one embodiment, method can include: receiving an address in a call agent, the address being associated with a call; triggering a trunk group selection algorithm in response to at least a portion of the received address, the trunk group selection algorithm providing a selection result from among a trunk group placeholder and a plurality of trunk groups; and forwarding the call to a trunk group determined by a caller-associated attribute when the selection result comprises the trunk group placeholder.",2014-01-07,0,0
8622388,Printing apparatus and method for detecting origin of conveying roller,"The present invention is to provide a printing apparatus capable of correctly detecting an origin of a conveying roller for conveying a print medium at the time of its rotation with a simple configuration that does not accompany an increase of cost. For this purpose, the printing apparatus is equipped with a lock mechanism (a lock link lever) for stopping rotation of the conveying roller at a predetermined rotational position and saves a count value of a rotation amount of the conveying roller when the conveying roller is locked by the lock mechanism concerned as origin information. After this, driving of the conveying roller is controlled based on the saved origin information and a phase of rotation of the conveying roller obtained from the count value of the conveying roller.",2014-01-07,0,0
8624912,"Program, image generation device, and image generation method","A program causing a computer to select a first color range from a plurality of color ranges based on input information, and to determine a color within the first color range to be a color of one of part objects corresponding to categories that form main parts of a model object under a predetermined condition.",2014-01-07,0,0
8625778,"Method of authentication, and image display apparatus incorporating the method","A method of authentication and an image display apparatus incorporating the method are provided. The method of authentication includes determining whether or not an error is generated in an authentication with an externally-connected multimedia source, and upon determination that the authentication error is generated, changing a reset signal to re-attempt the authentication and output to the multimedia source. As a result, successful High Bandwidth Digital Content Protection (HDCP) authentication can be provided at all times.",2014-01-07,0,0
8626968,Inter-queue anti-starvation mechanism with dynamic deadlock avoidance in a retry based pipeline,"Methods and apparatus relating to an inter-queue anti-starvation mechanism with dynamic deadlock avoidance in a retry based pipeline are described. In one embodiment, logic may arbitrate between two queues based on various rules. The queues may store data including local or remote requests, data responses, non-data responses, external interrupts, etc. Other embodiments are also disclosed.",2014-01-07,0,0
8627328,Operation control for deploying and managing software service in a virtual environment,"A system and method can deploy and manage software services in virtualized and non-virtualized environments. The system provides an enterprise application virtualization solution that allows for centralized governance and control over software and Java applications. Operations teams can define policies, based on application-level service level agreements (SLA) that govern the allocation of hardware and software resources to ensure that quality of service (QoS) goals are met across virtual and non-virtualized platforms. The system use a rules engine that can compare administrator defined constraints with runtime metrics; generate events when a constraint is violated by a metric of the runtime metrics and generate events when a constraint is violated by a metric of the runtime metrics.",2014-01-07,0,1
8625638,"Apparatus and method for coding an information signal into a data stream, converting the data stream and decoding the data stream","More customization and adaptation of coded data streams may be achieved by processing the information signal such that the various syntax structures obtained by pre-coding the information signal are placed into logical data packets, each of which being associated with a specific data packet type of a predetermined set of data packet types, and by defining a predetermined order of data packet types within one access unit of data packets. The consecutive access units in the data stream may, for example, correspond to different time portions of the information signal. By defining the predetermined order among the data packet types it is possible, at decoder's side, to detect the borders between successive access units even when removable data packets are removed from the data stream on the way from the data stream source to the decoder without incorporation of any hints into the reminder of the data stream.",2014-01-07,3,0
8623895,Mitotic kinesin inhibitors and methods of use thereof,"This invention relates to inhibitors of mitotic kinesins, particularly KSP, and methods for producing these inhibitors. The invention also provides pharmaceutical compositions comprising the inhibitors of the invention and methods of utilizing the inhibitors and pharmaceutical compositions in the treatment and prevention of various disorders.",2014-01-07,0,0
8623423,Boron-containing compositions,"The present invention relates to boron-containing compositions. The invention relates to comminuted, heterogeneous boron-containing compositions which are obtainable by a process which comprises heating to a temperature sufficiently high that calcination occurs but insufficient for the formation of a homogeneous melt a mixture comprising components capable, under the conditions of heating, of forming the oxides B2O3 and SiO2 and optionally Al2O3, Na2O and/or CaO in proportions such that the relative percentages by weight of the said oxides, based on the total weight of said oxides, are as follows: 5 to 35% B2O3; 10 to 65% SiO2; 0 to 35% Al2O3; and up to 20% Na2O and/or up to 50% CaO; with the proviso that the said B2O3 content is not 10 to 18%, when the other contents are as follows: 40 to 65% SiO2, 17 to 32% Al2O3 4 to 9% Na2O, and 0 to 10% CaO, and then comminuting the resulting composition. By varying the proportions of the ingredients and the heating conditions, there may be obtained products of differing boron solubility characteristics according to the desired use of the products. Such compositions may be used as a source of boron in ceramics and heavy clay bodies, glass and fiberglass; in agriculture; as wood preservatives and pesticides; in polymers and rubbers; in wood, including wood-plastic composites; as flame retardant; in intumescent materials; in paints and coatings, in soaps and detergents; in cosmetics; in industrial fluids; in steel slag; in water treatment; and in gypsum wallboard as well as in glazes.",2014-01-07,1,0
8623246,Process of making a fibrous structure,"Polymeric structures, methods for making same, fibrous structures comprising same and fibrous product incorporating same are provided.",2014-01-07,9,0
8622432,Binding element and associated method for binding,"A binding structure for binding a bundle of sheets and that includes a base and a pair of opposed position legs that are integrally formed with and extend from respective sides of the base. The pair of legs and base together defines a retention area in which the bundle of sheets is held. The pair of legs is constructed and arranged with a resilient bias toward each other, but separable to enable the bundle of sheets to be held therebetween under a biasing force. The legs each have at least one inwardly directed rib arranged for contact with opposed sides of the bundle of sheets, and a thermal adhesive layer is disposed on the base and upon which the bundle of sheets rests, to be later formed in a thermal binding machine.",2014-01-07,1,0
